stopLoss change:0.000575;killTime change:-1.84487
stopLoss change:0.00055;killTime change:-1.76466
takeProfit change:0.0004;killTime change:1.28339
stopLoss change:0.00045;killTime change:-1.44381
stopLoss change:0.000575;killTime change:-1.84487
stopLoss change:0.0004;killTime change:-1.28339
takeProfit change:0.000475;killTime change:1.52402
takeProfit change:0.000425;killTime change:1.3636
stopLoss change:0.0005;killTime change:-1.60424
stopLoss change:0.000525;killTime change:-1.68445
takeProfit change:0.000475;killTime change:1.52402
takeProfit change:0.0005;killTime change:1.60424
takeProfit change:0.000475;killTime change:1.52402
takeProfit change:0.00045;killTime change:1.44381
takeProfit change:0.000575;killTime change:1.84487
takeProfit change:0.000425;killTime change:1.3636
takeProfit change:0.000475;killTime change:1.52402
stopLoss change:0.000575;killTime change:-1.84487
stopLoss change:0.00065;killTime change:-2.08551
stopLoss change:0.000675;killTime change:-2.16572
stopLoss change:0.000525;killTime change:-1.68445
stopLoss change:0.0004;killTime change:-1.28339
stopLoss change:0.0004;killTime change:-1.28339
takeProfit change:0.000475;killTime change:1.52402
takeProfit change:0.0004;killTime change:1.28339
takeProfit change:0.000425;killTime change:1.3636
takeProfit change:0.0004;killTime change:1.28339
takeProfit change:0.000525;killTime change:1.68445
takeProfit change:0.0006;killTime change:1.92508
takeProfit change:0.000475;killTime change:1.52402
takeProfit change:0.0005;killTime change:1.60424
stopLoss change:0.0004;killTime change:-1.28339
stopLoss change:0.00045;killTime change:-1.44381
stopLoss change:0.00045;killTime change:-1.44381
stopLoss change:0.00045;killTime change:-1.44381
stopLoss change:0.000475;killTime change:-1.52402
stopLoss change:0.000475;killTime change:-1.52402
stopLoss change:0.000575;killTime change:-1.84487
stopLoss change:0.000775;killTime change:-2.48657
stopLoss change:0.00065;killTime change:-2.08551
INFO: GapDown;KILL;tradeId:897;parenttradeId:896;timeStamp:2024-02-13 14:29:55;price:150.374;killTime:180.813;profit loss for trades:176.227
INFO: GapDown;new trade; tradeCount:14;tradeId:898;timeStamp:2024-02-13 22:58:47;t_cur:153.182;h_cur:0.1655;h1:0.014;price:150.616;takeProfit:150.683;stopLoss:150.602;killTime:107.227
takeProfit change:0.0007;killTime change:0.925571
takeProfit change:0.001;killTime change:1.32224
takeProfit change:0.0011;killTime change:1.45447
takeProfit change:0.00125;killTime change:1.65281
takeProfit change:0.00085;killTime change:1.12391
stopLoss change:0.00045;killTime change:-0.59501
stopLoss change:0.000625;killTime change:-0.826403
stopLoss change:0.0004;killTime change:-0.528898
takeProfit change:0.000775;killTime change:1.02474
takeProfit change:0.0008;killTime change:1.0578
takeProfit change:0.000575;killTime change:0.76029
takeProfit change:0.0006;killTime change:0.793347
stopLoss change:0.0005;killTime change:-0.661122
takeProfit change:0.000425;killTime change:0.561954
stopLoss change:0.00055;killTime change:-0.727234
stopLoss change:0.000425;killTime change:-0.561954
stopLoss change:0.00165;killTime change:-2.1817
INFO: GapDown;STOPLOSS;tradeId:899;parenttradeId:898;timeStamp:2024-02-13 22:59:09;price:150.604;killTime:111.822;profit loss for trades:-79.6792
INFO: GapDown;new trade; tradeCount:15;tradeId:900;timeStamp:2024-02-13 23:48:18;t_cur:461.923;h_cur:0.104;h1:0.0165;price:150.678;takeProfit:150.712;stopLoss:150.661;killTime:323.346
