stopLoss change:0.00035625;killTime change:-1.97789
stopLoss change:0.000375;killTime change:-2.08198
stopLoss change:0.00043125;killTime change:-2.39428
INFO: GapDown;STOPLOSS;tradeId:771;parenttradeId:770;timeStamp:2024-02-13 23:49:38;price:150.661;killTime:373.806;profit loss for trades:-109.517
INFO: GapDown;new trade; tradeCount:18;tradeId:772;timeStamp:2024-02-15 09:48:12;t_cur:1791.58;h_cur:0.123;h1:0.0175;price:150.007:150.002;takeProfit:150.068;stopLoss:149.989;killTime:900
takeProfit change:0.00080625;killTime change:9.2178
takeProfit change:0.00091875;killTime change:10.504
takeProfit change:0.00080625;killTime change:9.2178
stopLoss change:0.00031875;killTime change:-3.64425
INFO: GapDown;STOPLOSS;tradeId:773;parenttradeId:772;timeStamp:2024-02-15 09:49:00;price:149.986;killTime:925.295;profit loss for trades:-136.679
INFO: GapDown;new trade; tradeCount:19;tradeId:774;timeStamp:2024-02-15 13:30:16;t_cur:8.551;h_cur:0.222;h1:0.017;price:149.611:149.607;takeProfit:149.736;stopLoss:149.594;killTime:6.8408
takeProfit change:0.00045;killTime change:0.0216664
takeProfit change:0.000375;killTime change:0.0180553
takeProfit change:0.0005625;killTime change:0.027083
stopLoss change:0.00245625;killTime change:-0.118262
INFO: GapDown;STOPLOSS;tradeId:775;parenttradeId:774;timeStamp:2024-02-15 13:30:16;price:149.546;killTime:6.78934;profit loss for trades:-431.304
INFO: GapDown;new trade; tradeCount:20;tradeId:776;timeStamp:2024-02-22 08:15:00;t_cur:29587.3;h_cur:0.3175;h1:0.025;price:150.08:150.076;takeProfit:150.258;stopLoss:150.055;killTime:900
takeProfit change:0.000825;killTime change:3.65404
takeProfit change:0.00061875;killTime change:2.74053
takeProfit change:0.00069375;killTime change:3.07271
takeProfit change:0.0004875;killTime change:2.1592
stopLoss change:0.000375;killTime change:-1.66093
stopLoss change:0.00035625;killTime change:-1.57788
INFO: GapDown;STOPLOSS;tradeId:777;parenttradeId:776;timeStamp:2024-02-22 08:15:05;price:150.055;killTime:908.388;profit loss for trades:-166.606
INFO: GapDown;new trade; tradeCount:21;tradeId:778;timeStamp:2024-02-22 14:45:02;t_cur:291.05;h_cur:0.159;h1:0.0205;price:150.48:150.475;takeProfit:150.561;stopLoss:150.459;killTime:232.84
takeProfit change:0.0005625;killTime change:1.28707
takeProfit change:0.00125625;killTime change:2.87446
takeProfit change:0.0010125;killTime change:2.31673
takeProfit change:0.000675;killTime change:1.54449
takeProfit change:0.00095625;killTime change:2.18802
